SaveData[685], 0x038D,
SaveData[686], 0x03A7,
SaveData[687], 0x0382,
SaveData[688], 0x03A9,
SaveData[689], 0x0381,
SaveData[690], 0x03A6,
SaveData[691], 0x0398,
SaveData[692], 0x03A8,
SaveData[693], 0x0397,
SaveData[694], 0x03A0,
SaveData[695], 0x0393,
SaveData[696], 0x0393,
SaveData[697], 0x0391,
SaveData[698], 0x038F,
SaveData[699], 0x0394,
SaveData[700], 0x0385,
SaveData[701], 0x0398,
SaveData[702], 0x038F,
SaveData[703], 0x03A3,
SaveData[704], 0x037B,
SaveData[705], 0x03AA,
SaveData[706], 0x0383,
SaveData[707], 0x03A8,
SaveData[708], 0x038E,
SaveData[709], 0x03A7,
SaveData[710], 0x0392,
SaveData[711], 0x03A9,
SaveData[712], 0x0380,
SaveData[713], 0x039E,
SaveData[714], 0x0393,
SaveData[715], 0x039A,
SaveData[716], 0x0391,
SaveData[717], 0x0392,
SaveData[718], 0x0390,
SaveData[719], 0x038A,
SaveData[720], 0x0395,
SaveData[721], 0x0378,
SaveData[722], 0x039C,
SaveData[723], 0x0383,
SaveData[724], 0x03A2,
SaveData[725], 0x037B,
SaveData[726], 0x03A8,
SaveData[727], 0x038D,
SaveData[728], 0x03A8,
SaveData[729], 0x0395,
SaveData[730], 0x03A7,
SaveData[731], 0x0392,
SaveData[732], 0x03AC,
SaveData[733], 0x03A0,
SaveData[734], 0x039E,
SaveData[735], 0x0394,
SaveData[736], 0x03A0,
SaveData[737], 0x038D,
SaveData[738], 0x038C,
SaveData[739], 0x0392,
SaveData[740], 0x038A,
SaveData[741], 0x039A,
SaveData[742], 0x0382,
SaveData[743], 0x039D,
SaveData[744], 0x0389,
SaveData[745], 0x03A8,
SaveData[746], 0x038E,
SaveData[747], 0x03B6,
SaveData[748], 0x038E,
SaveData[749], 0x0396,
SaveData[750], 0x0395,
SaveData[751], 0x03A4,
SaveData[752], 0x0395,
SaveData[753], 0x03A2,
SaveData[754], 0x0393,
SaveData[755], 0x0398,
SaveData[756], 0x038C,
SaveData[757], 0x03AF,
SaveData[758], 0x038E,
SaveData[759], 0x0390,
SaveData[760], 0x038D,
SaveData[761], 0x038A,
SaveData[762], 0x0396,
SaveData[763], 0x0388,
SaveData[764], 0x0378,
SaveData[765], 0x0388,
SaveData[766], 0x03A4,
SaveData[767], 0x0388,
SaveData[768], 0x03A1,
SaveData[769], 0x038E,
SaveData[770], 0x03A0,
SaveData[771], 0x0394,
SaveData[772], 0x03A5,
SaveData[773], 0x0396,
SaveData[774], 0x03A6,
SaveData[775], 0x0394,
SaveData[776], 0x0398,
SaveData[777], 0x038A,
SaveData[778], 0x0395,
SaveData[779], 0x038A,
SaveData[780], 0x038E,
SaveData[781], 0x038C,
SaveData[782], 0x038B,
SaveData[783], 0x0398,
SaveData[784], 0x0388,
SaveData[785], 0x039F,
SaveData[786], 0x0385,
SaveData[787], 0x03AF,
SaveData[788], 0x038C,
SaveData[789], 0x03AF,
SaveData[790], 0x0396,
SaveData[791], 0x039E,
SaveData[792], 0x0397,
SaveData[793], 0x03A1,
SaveData[794], 0x039A,
SaveData[795], 0x039E,
SaveData[796], 0x0396,
SaveData[797], 0x0398,
SaveData[798], 0x0392,
SaveData[799], 0x0395,
SaveData[800], 0x038E,
SaveData[801], 0x038B,
SaveData[802], 0x0392,
SaveData[803], 0x0387,
SaveData[804], 0x0398,
SaveData[805], 0x0386,
SaveData[806], 0x039E,
SaveData[807], 0x038A,
SaveData[808], 0x03AE,
SaveData[809], 0x038C,
SaveData[810], 0x03A9,
SaveData[811], 0x0390,
SaveData[812], 0x03A9,
SaveData[813], 0x0395,
SaveData[814], 0x03A2,
SaveData[815], 0x039B,
SaveData[816], 0x039E,
SaveData[817], 0x0394,
SaveData[818], 0x0394,
SaveData[819], 0x0397,
SaveData[820], 0x0391,
SaveData[821], 0x038E,
SaveData[822], 0x038D,
SaveData[823], 0x0386,
SaveData[824], 0x0383,
SaveData[825], 0x0395,
SaveData[826], 0x0387,
SaveData[827], 0x039D,
SaveData[828], 0x0388,
SaveData[829], 0x03A5,
SaveData[830], 0x038D,
SaveData[831], 0x03AB,
SaveData[832], 0x0390,
SaveData[833], 0x03AA,
SaveData[834], 0x0391,
SaveData[835], 0x03A4,
SaveData[836], 0x039F,
SaveData[837], 0x03A5,
SaveData[838], 0x0397,
SaveData[839], 0x039B,
SaveData[840], 0x0394,
