SaveData[803], 0x0C6B,
SaveData[804], 0x0C6A,
SaveData[805], 0x0C6D,
SaveData[806], 0x0C68,
SaveData[807], 0x0C6C,
SaveData[808], 0x0C6B,
SaveData[809], 0x0C6A,
SaveData[810], 0x0C6C,
SaveData[811], 0x0C6C,
SaveData[812], 0x0C6A,
SaveData[813], 0x0C6D,
SaveData[814], 0x0C69,
SaveData[815], 0x0C6D,
SaveData[816], 0x0C6A,
SaveData[817], 0x0C6C,
SaveData[818], 0x0C6C,
SaveData[819], 0x0C6A,
SaveData[820], 0x0C6A,
SaveData[821], 0x0C6D,
SaveData[822], 0x0C68,
SaveData[823], 0x0C6C,
SaveData[824], 0x0C6B,
SaveData[825], 0x0C6A,
SaveData[826], 0x0C6A,
SaveData[827], 0x0C6B,
SaveData[828], 0x0C6B,
SaveData[829], 0x0C6C,
SaveData[830], 0x0C6B,
SaveData[831], 0x0C6D,
SaveData[832], 0x0C6A,
SaveData[833], 0x0C6D,
SaveData[834], 0x0C6A,
SaveData[835], 0x0C6B,
SaveData[836], 0x0C6B,
SaveData[837], 0x0C6D,
SaveData[838], 0x0C69,
SaveData[839], 0x0C6B,
SaveData[840], 0x0C6B,
SaveData[841], 0x0C6C,
SaveData[842], 0x0C6B,
SaveData[843], 0x0C6B,
SaveData[844], 0x0C6C,
SaveData[845], 0x0C6C,
SaveData[846], 0x0C6A,
SaveData[847], 0x0C6B,
SaveData[848], 0x0C6A,
SaveData[849], 0x0C6C,
SaveData[850], 0x0C6C,
SaveData[851], 0x0C6B,
SaveData[852], 0x0C6A,
SaveData[853], 0x0C6D,
SaveData[854], 0x0C68,
SaveData[855], 0x0C6A,
SaveData[856], 0x0C6A,
SaveData[857], 0x0C6B,
SaveData[858], 0x0C6B,
SaveData[859], 0x0C6A,
SaveData[860], 0x0C6A,
SaveData[861], 0x0C6D,
SaveData[862], 0x0C6A,
SaveData[863], 0x0C6C,
SaveData[864], 0x0C6A,
SaveData[865], 0x0C6C,
SaveData[866], 0x0C6B,
SaveData[867], 0x0C6B,
SaveData[868], 0x0C6B,
SaveData[869], 0x0C6B,
SaveData[870], 0x0C69,
SaveData[871], 0x0C6B,
SaveData[872], 0x0C69,
SaveData[873], 0x0C6B,
SaveData[874], 0x0C6C,
SaveData[875], 0x0C6A,
SaveData[876], 0x0C69,
SaveData[877], 0x0C6C,
SaveData[878], 0x0C6B,
SaveData[879], 0x0C6C,
